LONGITUD,LATITUD,ACTIVIDAD,TIPO,ESTADO
-76.912,-12.2031,Electricidad,EIA-d,Aprobado
-74.3282,-5.2437,Hidrocarburos,ITS,Aprobado
-75.0562,-15.0532,Electricidad,ITS,Aprobado
-81.162,-4.4791,Hidrocarburos,ITS,Aprobado
-78.6297,-6.7658,Mineria,ITS,Aprobado
-72.88,-11.8096,Hidrocarburos,ITS,Aprobado
-70.3196724,-14.2295433,Mineria,ITS,Aprobado
-72.31109816,-14.98482422,Mineria,ITS,Aprobado
-72.8517,-11.896,Hidrocarburos,ITS,Aprobado
-76.96670942,-10.20644215,Mineria,ITS,Aprobado
-80.55471464,-5.17383413,Transportes,ITS,Aprobado
-71.7471789,-15.06890465,Mineria,Clasificacion,Aprobado
-74.79802152,-12.9412912,Mineria,Clasificacion,Aprobado
-76.52324721,-11.18673563,Mineria,ITS,Aprobado
-75.01457372,-15.37769061,Electricidad,PPC,Aprobado
-77.05330294,-9.54451496,Mineria,ITS,Aprobado
-70.31739124,-16.45616542,Mineria,Clasificacion,Aprobado
-72.3039,-16.5547,Electricidad,ITS,Aprobado
-72.9402,-11.8591,Hidrocarburos,ITS,Aprobado
-75.2198,-8.3936,Hidrocarburos,ITS,Aprobado
-76.74484375,-10.44482586,Mineria,Clasificacion,Aprobado
-81.2953,-4.4747,Hidrocarburos,ITS,Aprobado
-76.5951,-12.6975,Mineria,ITS,Aprobado
-76.8656,-11.9805,Electricidad,Clasificacion,Aprobado
-75.4959,-11.8079,Electricidad,Clasificacion,Aprobado
-75.0515,-15.0581,Electricidad,ITS,Aprobado
-76.2856,-10.7663,Mineria,ITS,Aprobado
-81.18751796,-4.50692855,Hidrocarburos,ITS,Aprobado
-80.73985916,-3.59901962,Hidrocarburos,ITS,Aprobado
-76.13276867,-11.59644155,Mineria,ITS,Aprobado
-77.27612962,-11.49420062,Mineria,ITS,Aprobado
-81.21173445,-4.52022958,Hidrocarburos,ITS,Aprobado
-78.20191828,-7.61210397,Mineria,ITS,Aprobado
-72.89122387,-11.73519681,Hidrocarburos,ITS,Aprobado
-76.3819833,-13.00621581,Agricultura,Clasificacion,Aprobado
-81.21720388,-4.29463009,Hidrocarburos,ITS,Aprobado
-72.9422,-11.8773,Hidrocarburos,MEIA-d,Aprobado
-81.16284874,-4.48062664,Hidrocarburos,ITS,Aprobado
-78.59568743,-8.56638157,Agricultura,Clasificacion,Aprobado
-81.19148859,-4.55751664,Electricidad,ITS,Aprobado
-76.23162434,-13.77607194,Hidrocarburos,ITS,Aprobado
-75.07225486,-12.72351772,Mineria,ITS,Aprobado
-78.8986783,-6.83011186,Mineria,ITS,Aprobado
-72.35781806,-15.27144774,Mineria,ITS,Aprobado
-78.88720346,-6.82124766,Mineria,ITS,Aprobado
-81.11903196,-5.20654696,Mineria,ITS,Aprobado
-70.39899865,-13.15209764,Transportes,Clasificacion,Aprobado
-70.39899865,-13.15209764,Transportes,Clasificacion,Aprobado
-70.51375055,-16.82030385,Electricidad,Clasificacion,Aprobado
-76.68010687,-10.02350048,Agricultura,Clasificacion,Aprobado
-73.55360023,-13.25331979,Transportes,Clasificacion,Aprobado
-75.0756,-15.1505,Mineria,ITS,Aprobado
-74.9527,-12.7846,Electricidad,Clasificacion,Aprobado
-78.51516538,-6.9805174,Mineria,ITS,Aprobado
-81.23670977,-4.33770477,Hidrocarburos,ITS,Aprobado
-71.91102399,-15.47192546,Mineria,ITS,Aprobado
-71.5902,-16.5532,Mineria,ITS,Aprobado
-81.17085359,-4.28361388,Hidrocarburos,ITS,Aprobado
-76.88952069,-12.27278464,Agricultura,Clasificacion,Aprobado
-81.06450187,-3.6478432,Hidrocarburos,ITS,Aprobado
-75.8875789,-10.70727699,Transportes,Clasificacion,Aprobado
-75.7632838,-10.75306818,Transportes,Clasificacion,Aprobado
-73.0592,-11.6546,Hidrocarburos,ITS,Aprobado
-71.83064568,-15.17721699,Mineria,ITS,Aprobado
-76.74346984,-10.458855,Mineria,Clasificacion,Aprobado
-76.09179021,-10.65750133,Transportes,Clasificacion,Aprobado
-77.66206078,-7.71877542,Mineria,ITS,Aprobado
-80.99367281,-5.35948095,Hidrocarburos,ITS,Aprobado
-69.57137146,-10.96749456,Transportes,ITS,Aprobado
-81.14532234,-4.27808254,Hidrocarburos,ITS,Aprobado
-70.0643,-15.3924,Electricidad,EIA-d,Aprobado
-71.4344,-14.1004,Electricidad,Clasificacion,Aprobado
-79.03601737,-7.94357564,Residuos Solidos,ITS,Aprobado
-76.29679506,-13.24466607,Hidrocarburos,ITS,Aprobado
-72.58085565,-13.14033064,Electricidad,ITS,Aprobado
-81.03101704,-5.33921969,Hidrocarburos,ITS,Aprobado
-76.17609795,-11.59769712,Mineria,ITS,Aprobado
-70.59636226,-14.89214738,Transportes,Clasificacion,Aprobado
-80.06819479,-6.28498179,Agricultura,Clasificacion,Aprobado
-75.05621473,-15.05347184,Electricidad,Clasificacion,Aprobado
-74.72500859,-15.40748259,Agricultura,Clasificacion,Aprobado
-71.78048138,-16.64212897,Electricidad,Clasificacion,Aprobado
-76.22806521,-13.77465232,Hidrocarburos,ITS,Aprobado
-73.31433314,-11.46448235,Hidrocarburos,ITS,Aprobado
-80.98705708,-5.34591106,Hidrocarburos,ITS,Aprobado
-75.0617,-15.1625,Mineria,ITS,Aprobado
-75.6923,-14.0555,Electricidad,Clasificacion,Aprobado
-75.20848653,-15.27404788,Mineria,Clasificacion,Aprobado
-78.63411302,-6.76675475,Mineria,ITS,Aprobado
-78.83737738,-5.8988517,Transportes,ITS,Aprobado
-77.70731371,-6.29441556,Transportes,Clasificacion,Aprobado
-70.6292903,-17.09908301,Mineria,ITS,Aprobado
-69.81586669,-17.76055095,Mineria,ITS,Aprobado
-77.47876451,-5.74622971,Transportes,ITS,Aprobado
-70.37537052,-13.11336116,Transportes,ITS,Aprobado
-73.78659068,-12.62685157,Transportes,Clasificacion,Aprobado
-77.5891,-7.7745,Mineria,MEIA-d,Aprobado
-76.11217599,-11.69616304,Electricidad,Clasificacion,Aprobado
-69.49128764,-11.38450293,Transportes,ITS,Aprobado
-69.56174512,-11.101597,Transportes,ITS,Aprobado
-78.23514827,-5.84332482,Transportes,ITS,Aprobado
-69.54933007,-11.21758265,Transportes,ITS,Aprobado
-77.1015,-11.9856,Electricidad,Clasificacion,Aprobado
-73.147,-14.682,Mineria,ITS,Aprobado
-77.1711,-11.0848,Electricidad,ITS,Aprobado
